timestamp,speaker,words,tags
[00:20:04],Dr. Heath," Even though, you know, a lot of Filipino, Chinese, Japanese, like student activists in the West coast, they don't share culture, language or anything. They, they recognize that through connection, through the connection that we do have a history of immigration to the US and that's actually really important.",Culture
[00:20:28],Dr. Heath," So, you know, even though it, it kind of is, Unsettling sometimes to be, you know, For all Asians to be part of this like monolithic race group where, you know, like you are South Asian and I'm Filipino. Like our, our cultures are so different, but there's still some things that we experience that are overlapping.",Culture
[00:20:51],Dr. Heath," And so, so I think that that's really where there's the aspects of culture where we can come together is really helpful and it's been helpful for me. To, to connect with a other Asian faculty, like through things like the F ss a, because like we care about, like we care about our cultures, we care about talking about them, we care about our food, and we care about like, just being around other people who might have had similar experiences.",Culture
[00:21:21],Dr. Heath," So I think maybe the, the. Kind of superpower that that we can bring is just being op, having our eyes open to, you know, the varied experience that comes with being Asian in the US and that. Acknowledging that that's diverse, which at least can help us understand the diverse experiences of people who aren't Asian.",
[00:21:48],Dr. Heath," Yeah,",
[00:21:48],Mansi," no, absolutely. Um, uh, thank you for that insightful answer. Um, and it's been great so far talking to you. And just for the interest of time, I'm going to jump to our kind of, uh, wrapping up two questions. So in terms of, you talked about your journey, uh, so far and your journey at I u so what do you perceive the progress in terms of diversity and inclusion you have seen so far on campus, and do you see any changes that have taken place so far or what changes would you like",
[00:22:22],Dr. Heath," maybe, um, Question to answer right now.",Diversity
[00:22:26],Dr. Heath," Okay. Being recorded, but I'll do my best. Um, because you probably also recognize that this is a challenging time for us where we are trying to make progressive changes to create welcoming spaces for students of color in, in a primarily white institution. Um, there are. Agencies that are working for against us who don't want to see that those changes because, uh, many people, when you're in a majority population, I.",Diversity
[00:23:03],Dr. Heath," Some of these people are seeing equity as like, you know, or when equality happens, their rights are being taken away. But when you, like, there is that quote is when you're accustomed to privilege, equality feels like oppression, right? And that's what some of the things that we're seeing. And so that's a major challenge that, that we, that everyone who's working on a primarily white institution faces.",Diversity
[00:23:30],Dr. Heath," But you know, when you also have, um, barriers, political barriers and other things that limit your, your reach. So, so I've seen a lot of support for these initiatives in the history of my experience at Iowa State. My, my husband also, um, is the director of a of a. Program for students who are underrepresented in stem.",Diversity
[00:23:57],Dr. Heath," And so he's runs this undergraduate program. And so these are things that we think about on a daily basis and we talk about a lot. And we've, and the support that Iowa State has given to for his career has also been great. Um, and I've, I've seen a lot of recognition for the work that I've done, um, in these areas from the administration and others.",Diversity
[00:24:20],Dr. Heath," So, And I, I do see a, a, a real desire to, to create supportive places for students who are marginalized on campus. Um, so that's what I hope to see. And I guess like, in terms of some of the things that I think that in order to, you know, really kind of get around some of the challenges that we have. With these types of efforts is we, we do them outside our universities.",Diversity
[00:24:51],Dr. Heath," Right. So much of the work that I do, well, I guess in addition to what I do on campus is, is through my scientific societies. Um, I'm part of, uh, So I have one primary scientific society that is based in my field, and we are part of a consortium of evolutionary bio biology, scientific societies. And so we're working on new programs for leadership development, inclu inclusive leadership development within our societies.",Diversity
[00:25:20],Dr. Heath," Um, we also do, uh, a lot of other activities to support like. Um, diversifying our field. And the other, the other organization that I I interact with a lot is the Society for the Advancement of his Chicanos, Hispanics, native Americans in Science Somas. Um, and so this is the largest stem diversity organ, uh, organization in the US in the world, probably.",Diversity
[00:25:47],Dr. Heath," And so every year they have a conference, uh, and, uh, bringing together people from all over, uh, north America almost. And so, um, uh, you know, and this could be a, this is a conference of up to 6,000 people where many of those. Attendees or undergraduates looking, uh, for toward careers in STEM fields. And so I go to that every year and we have a SONIS chapter on campus that a lot of the students who've been in my lab, but also in our department and in my husband's program are involved in.",Diversity
[00:26:20],Dr. Heath," And so we take a contingency of, of people to that conference, um, and recruit and, and. You know, create things from that. We learn from there and bring them back to Iowa State, to, to lead toward better practices of mentoring and, and working with students who are from really diverse backgrounds. So, I. I think that's, that's where I see progress is like these connections of, of we need institutional support, but we also, because you know, sometimes that's difficult to get is we find other places for that.",Diversity
[00:26:59],Mansi," Absolutely. No, um, that is absolutely the thing we are talking in m s A as well because as you mentioned, it's difficult time for everyone. On campus as well. And how do we expand our wings outside of campus too, right? Because we, no matter what happens, but we need to support the community. We need to support, so.",
[00:27:21],Mansi," Absolutely. Yeah. Um, so I would love to know one memorable accomplishment or contribution you would love, uh, you would like to, like us to have kind of with your profile on the website, which you would like to share.",
[00:27:38],Dr. Heath," Um, I guess like since I, I think one of the, like I mentioned before, like working with the, the Carver programs probably one of the highlights of my career at Iowa State.",Research
[00:27:49],Dr. Heath," But in terms of my research, like, uh, one of the, my main contributions to my field has been, you know, expanding and extending them a set of models for, um, Describing how diversification happens among species as well, especially when we're. Accounting for how those species are sampled in the fossil record.",Research
[00:28:12],Dr. Heath," Mm-hmm. Um, and so this is a model that we call the fossilized birth death process. And like through the development of this method, I've been able to, um, uh, work on some really awesome empirical projects. So, um, I've had a long collaboration with the, um, a penguin paleontologist named Daniel Epca, and he, uh, Um, and so we published several papers and most recently we had a paper in this came out in February.",Research
[00:28:40],Dr. Heath," Um, so his, our collaborators in New Zealand have described a, a new fossil penguin. Um, I guess I won't go into details for time, but um, uh, it is the largest. Uh, penguin species, uh, known. So it was about hundred 60 kilograms. They estimate. Oh my God. So they only have like the humerus bone. So they're able to extrapolate based on what they know about, you know, penguin growth curves and other things, like how big the, how much this penguin weighed.",Accomplishment
[00:29:11],Dr. Heath," So, um, you know, slowly over like 300 pound penguin. And so they also think these penguins were like something like, Like six to six and a half feet tall. Oh, okay. So yeah. But most of the penguins in the fossil record were really big. And so one of the things we're interested in, now that we have more, like there are many more penguin species in the fossil record than there are living penguins.",Accomplishment
[00:29:35],Dr. Heath," There's only about 20 living species. Why are they so small? So that's like sort of where we're going next and um, and this grant that we got to work on, these methods and penguins like, Has helped, uh, support, um, a museum exhibit at the Bruce Museum, which is in Connecticut that's open right now. So I'm very excited 'cause I'm gonna go see that this summer.",Accomplishment
[00:29:58],Dr. Heath," Um, you know, penguin evolution and penguin diversity. So that's kind of, uh, kind of like my thing now. It's like, even though I've never been like someone who worked on a specific organism, like I've had like the great fortune to collaborate with on some really cool projects, and now I have like, Some expertise on penguins.",Accomplishment
[00:30:19],Mansi," Yeah. That's so exciting. Congratulations, first of all. Um, and then, so is your current paper and everything, like the links available on website?",
[00:30:29],Dr. Heath," On my website, you can find the link. Like there's the, the link to the, to the giant penguin one is probably one of the more recent papers. There was also an article, uh, about it on the, in the New York Times.",Accomplishment
[00:30:40],Dr. Heath, Okay. So I think that's also linked on my website as well.,Accomplishment
[00:30:43],Mansi," Absolutely. Yeah, I can definitely utilize that because I would love to highlight all the contributions. Definitely. And that is the purpose of my project. You know, uh, women, Asian women on campus are doing amazing job, especially, especially faculties, and my project is to highlight as many as possible.",
[00:31:02],Mansi, So thank you so much for your time and thank you,
[00:31:06],Dr. Heath, for,
[00:31:06],Mansi," contacting me. So yeah, and if you have any other faculty members, you know, who would be a great recommendation for the project, do let me know. Yeah, I can",
[00:31:16],Dr. Heath, definitely,
[00:31:16],Mansi," email you. Absolutely. And if you have anything you would like to share us with your biographical profile on the website, you can always email me.",
[00:31:24],Mansi," Okay. Great. But yeah, so much Dr. He, it was great talking to you. Thank you.",
[00:31:29],Dr. Heath, Good luck with the rest of your,
[00:31:31],Mansi," project. Thank you. Yeah, have a great",
[00:31:33],Dr. Heath, day. You too. Bye-bye. Bye-bye.,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
